,index,ID,Age,Age_group,Education,Children,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Expenses,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumAllPurchases,NumStorePurchases,NumWebVisitsMonth
481,497,11088,43,Gen X,Postgraduate,1,Married,78642.0,2013-04-21,83.0,1396.0,0.0,322.0,46.0,35.0,17.0,1816.0,1.0,4.0,9.0,17.0,4.0,6.0
482,498,716,65,Boomers,Postgraduate,1,Married,67911.0,2014-05-22,63.0,529.0,0.0,356.0,63.0,28.0,0.0,976.0,3.0,6.0,7.0,24.0,11.0,3.0
483,499,466,70,Boomers,Undergraduate,0,Married,65275.0,2013-03-04,9.0,388.0,14.0,218.0,91.0,14.0,21.0,746.0,1.0,4.0,3.0,20.0,13.0,2.0
484,500,9135,64,Boomers,Undergraduate,2,Married,27203.0,2012-06-08,92.0,13.0,2.0,21.0,4.0,0.0,24.0,64.0,2.0,1.0,1.0,4.0,2.0,8.0
485,501,10623,53,Gen X,Postgraduate,1,Married,48330.0,2013-11-15,2.0,28.0,0.0,4.0,0.0,0.0,0.0,32.0,1.0,1.0,0.0,4.0,3.0,5.0
486,502,8151,24,Gen Z,Undergraduate,0,Married,24279.0,2012-12-29,6.0,16.0,36.0,21.0,20.0,62.0,108.0,263.0,1.0,4.0,1.0,8.0,3.0,8.0
487,503,5140,29,Millenials,Postgraduate,1,Married,64355.0,2012-08-24,66.0,1047.0,0.0,140.0,67.0,38.0,153.0,1445.0,2.0,4.0,3.0,19.0,12.0,8.0
488,504,10160,58,Boomers,Postgraduate,1,Married,50943.0,2013-06-21,49.0,31.0,0.0,7.0,2.0,0.0,6.0,46.0,1.0,1.0,0.0,4.0,3.0,5.0
489,505,4945,61,Boomers,Undergraduate,0,Divorced,53653.0,2012-07-11,29.0,815.0,10.0,239.0,28.0,10.0,108.0,1210.0,2.0,10.0,4.0,26.0,12.0,6.0
490,506,10584,38,Millenials,Undergraduate,1,Married,65665.0,2013-02-12,77.0,225.0,162.0,387.0,106.0,36.0,29.0,945.0,1.0,5.0,10.0,23.0,8.0,3.0
491,507,6071,25,Gen Z,Undergraduate,0,Single,81217.0,2013-07-19,77.0,493.0,70.0,324.0,146.0,40.0,84.0,1157.0,1.0,3.0,7.0,21.0,11.0,1.0
492,508,3386,22,Gen Z,Undergraduate,0,Married,34935.0,2013-06-21,71.0,34.0,4.0,66.0,3.0,10.0,20.0,137.0,1.0,2.0,1.0,7.0,4.0,7.0
493,509,8939,55,Gen X,Undergraduate,1,Divorced,61250.0,2012-12-16,49.0,382.0,138.0,65.0,60.0,26.0,59.0,730.0,6.0,5.0,2.0,19.0,12.0,5.0
494,510,9925,33,Millenials,Postgraduate,1,Married,39665.0,2013-05-25,97.0,127.0,1.0,56.0,0.0,1.0,31.0,216.0,3.0,4.0,2.0,9.0,3.0,7.0
495,511,4320,35,Millenials,Undergraduate,1,Single,60152.0,2013-03-28,6.0,325.0,83.0,300.0,86.0,58.0,91.0,943.0,1.0,6.0,4.0,22.0,12.0,3.0
496,512,5389,50,Gen X,Undergraduate,2,Married,48920.0,2013-10-20,93.0,238.0,17.0,68.0,8.0,10.0,6.0,347.0,3.0,6.0,2.0,13.0,5.0,7.0
497,513,6036,55,Gen X,Postgraduate,0,Married,89120.0,2014-03-17,78.0,1168.0,92.0,408.0,72.0,129.0,55.0,1924.0,1.0,5.0,6.0,18.0,7.0,1.0
498,514,182,68,Boomers,Postgraduate,1,Married,44124.0,2013-11-05,62.0,284.0,0.0,55.0,0.0,6.0,52.0,397.0,4.0,6.0,2.0,13.0,5.0,8.0
499,515,203,39,Millenials,Postgraduate,0,Single,81169.0,2013-04-14,47.0,1288.0,20.0,613.0,80.0,61.0,27.0,2089.0,1.0,5.0,7.0,21.0,9.0,2.0
500,516,11025,53,Gen X,Undergraduate,2,Married,36443.0,2013-03-02,9.0,65.0,0.0,46.0,4.0,3.0,20.0,138.0,4.0,3.0,1.0,7.0,3.0,8.0
501,517,10203,24,Gen Z,Undergraduate,1,Single,26095.0,2013-06-30,77.0,11.0,7.0,9.0,3.0,1.0,11.0,42.0,1.0,1.0,0.0,4.0,3.0,7.0
502,518,4607,55,Gen X,Undergraduate,0,Married,71367.0,2013-08-23,24.0,227.0,23.0,389.0,42.0,21.0,75.0,777.0,1.0,4.0,5.0,16.0,7.0,2.0
503,519,3711,70,Boomers,Postgraduate,0,Married,80184.0,2014-01-03,19.0,1035.0,134.0,670.0,25.0,38.0,0.0,1902.0,1.0,6.0,3.0,19.0,10.0,3.0
504,520,3696,49,Gen X,Undergraduate,2,Divorced,30630.0,2014-01-27,67.0,27.0,1.0,12.0,2.0,0.0,10.0,52.0,2.0,2.0,0.0,5.0,3.0,7.0
505,521,2532,27,Millenials,Postgraduate,0,Single,73454.0,2014-01-03,95.0,982.0,73.0,351.0,56.0,14.0,175.0,1651.0,1.0,2.0,4.0,12.0,6.0,5.0
506,522,9214,23,Gen Z,Undergraduate,0,Married,42691.0,2013-08-16,48.0,179.0,2.0,64.0,38.0,17.0,58.0,358.0,1.0,5.0,1.0,12.0,6.0,5.0
507,523,4943,61,Boomers,Undergraduate,0,Married,70503.0,2012-09-30,73.0,1379.0,33.0,216.0,0.0,33.0,66.0,1727.0,1.0,2.0,4.0,15.0,9.0,6.0
508,524,35,27,Millenials,Undergraduate,1,Married,25545.0,2012-08-09,35.0,32.0,1.0,64.0,16.0,12.0,85.0,210.0,3.0,2.0,2.0,7.0,3.0,6.0
509,525,2258,28,Millenials,Undergraduate,1,Married,32880.0,2012-04-12,76.0,8.0,4.0,15.0,7.0,6.0,2.0,42.0,1.0,1.0,0.0,4.0,3.0,8.0
510,526,4322,56,Gen X,Postgraduate,0,Married,77863.0,2013-11-27,20.0,881.0,38.0,319.0,16.0,25.0,12.0,1291.0,1.0,4.0,5.0,19.0,10.0,2.0
511,527,713,37,Millenials,Postgraduate,0,Married,50353.0,2014-08-06,72.0,141.0,15.0,153.0,67.0,31.0,35.0,442.0,1.0,4.0,4.0,14.0,6.0,3.0
512,528,4702,50,Gen X,Undergraduate,0,Single,61839.0,2012-12-08,20.0,1000.0,155.0,379.0,224.0,17.0,120.0,1895.0,1.0,4.0,8.0,16.0,4.0,8.0
513,529,3281,54,Gen X,Postgraduate,2,Married,49154.0,2013-03-11,69.0,206.0,10.0,67.0,30.0,27.0,71.0,411.0,6.0,4.0,1.0,13.0,8.0,6.0
514,530,702,39,Millenials,Postgraduate,1,Divorced,47682.0,2013-02-15,80.0,162.0,61.0,83.0,97.0,57.0,61.0,521.0,4.0,4.0,3.0,15.0,8.0,5.0
515,531,2004,45,Gen X,Undergraduate,1,Single,72679.0,2013-09-18,65.0,619.0,54.0,260.0,127.0,54.0,54.0,1168.0,1.0,4.0,7.0,16.0,5.0,1.0
516,532,4769,37,Millenials,Postgraduate,2,Married,57954.0,2014-06-18,52.0,456.0,4.0,24.0,0.0,0.0,9.0,493.0,7.0,8.0,2.0,16.0,6.0,7.0
517,533,4437,52,Gen X,Undergraduate,2,Married,65316.0,2013-04-24,65.0,112.0,6.0,92.0,3.0,9.0,38.0,260.0,2.0,3.0,2.0,10.0,5.0,4.0
518,534,8724,32,Millenials,Undergraduate,1,Single,28567.0,2013-06-17,57.0,11.0,3.0,22.0,2.0,2.0,6.0,46.0,2.0,2.0,0.0,5.0,3.0,6.0
519,535,10741,63,Boomers,Postgraduate,1,Married,47352.0,2013-11-04,70.0,172.0,12.0,112.0,8.0,0.0,15.0,319.0,4.0,6.0,1.0,12.0,5.0,7.0
520,536,1991,47,Gen X,Undergraduate,1,Married,44931.0,2014-01-18,0.0,78.0,0.0,11.0,0.0,0.0,7.0,96.0,1.0,2.0,1.0,6.0,3.0,5.0
521,537,6931,47,Gen X,Undergraduate,0,Divorced,76982.0,2014-02-15,19.0,464.0,151.0,292.0,65.0,60.0,30.0,1062.0,1.0,8.0,3.0,15.0,4.0,4.0
522,538,11096,62,Boomers,Postgraduate,1,Married,57247.0,2013-08-08,50.0,99.0,4.0,32.0,37.0,54.0,6.0,232.0,2.0,2.0,1.0,10.0,7.0,2.0
523,539,304,33,Millenials,Postgraduate,1,Single,22944.0,2013-12-23,67.0,19.0,3.0,19.0,4.0,5.0,26.0,76.0,3.0,3.0,0.0,6.0,3.0,7.0
524,540,3665,37,Millenials,Postgraduate,1,Married,25315.0,2013-07-11,46.0,1.0,9.0,8.0,11.0,3.0,22.0,54.0,3.0,3.0,0.0,6.0,3.0,8.0
525,541,10591,45,Gen X,Undergraduate,1,Divorced,43638.0,2012-06-08,37.0,63.0,10.0,83.0,7.0,19.0,19.0,201.0,2.0,4.0,1.0,9.0,4.0,7.0
526,542,5036,30,Millenials,Postgraduate,1,Single,42710.0,2012-11-28,38.0,252.0,3.0,42.0,4.0,3.0,102.0,406.0,2.0,4.0,5.0,12.0,3.0,6.0
527,543,5547,32,Millenials,Postgraduate,0,Married,84169.0,2013-07-08,9.0,1478.0,19.0,403.0,0.0,19.0,0.0,1919.0,1.0,7.0,6.0,19.0,6.0,3.0
528,544,7822,38,Millenials,Undergraduate,1,Married,54058.0,2013-04-06,56.0,198.0,18.0,252.0,32.0,108.0,54.0,662.0,2.0,4.0,6.0,18.0,8.0,3.0
529,545,8541,24,Gen Z,Postgraduate,1,Married,24683.0,2014-08-03,98.0,8.0,4.0,10.0,6.0,7.0,6.0,41.0,2.0,2.0,0.0,6.0,4.0,5.0
530,546,10955,50,Gen X,Undergraduate,0,Divorced,85620.0,2014-07-01,68.0,416.0,46.0,925.0,60.0,107.0,46.0,1600.0,1.0,3.0,6.0,13.0,4.0,1.0
531,547,4368,34,Millenials,Undergraduate,1,Married,47850.0,2013-03-12,72.0,42.0,7.0,43.0,20.0,12.0,10.0,134.0,1.0,3.0,0.0,7.0,4.0,6.0
532,548,9671,46,Gen X,Undergraduate,2,Married,19514.0,2014-01-26,47.0,14.0,3.0,21.0,2.0,1.0,28.0,69.0,4.0,3.0,1.0,6.0,2.0,8.0
533,549,2256,41,Millenials,Postgraduate,2,Married,27159.0,2014-03-29,33.0,17.0,0.0,3.0,0.0,0.0,1.0,21.0,2.0,1.0,0.0,4.0,3.0,6.0
534,550,4279,51,Gen X,Postgraduate,2,Single,39548.0,2014-03-31,87.0,15.0,4.0,10.0,3.0,4.0,18.0,54.0,2.0,1.0,1.0,5.0,3.0,3.0
535,551,5371,25,Gen Z,Undergraduate,1,Single,21474.0,2014-08-04,0.0,6.0,16.0,24.0,11.0,0.0,34.0,91.0,2.0,3.0,1.0,6.0,2.0,7.0
536,552,9240,43,Gen X,Postgraduate,1,Single,60504.0,2014-07-02,73.0,458.0,0.0,24.0,6.0,4.0,34.0,526.0,2.0,6.0,2.0,16.0,8.0,6.0
537,553,9460,51,Gen X,Undergraduate,0,Married,22419.0,2013-04-18,74.0,30.0,3.0,47.0,19.0,21.0,42.0,162.0,1.0,3.0,2.0,7.0,2.0,8.0
538,554,9504,65,Boomers,Postgraduate,0,Married,81698.0,2013-06-11,4.0,179.0,28.0,520.0,111.0,123.0,47.0,1008.0,1.0,3.0,8.0,24.0,13.0,1.0
539,555,8692,62,Boomers,Undergraduate,2,Married,43462.0,2012-12-09,50.0,90.0,17.0,97.0,15.0,6.0,15.0,240.0,6.0,4.0,1.0,10.0,5.0,8.0
540,556,448,36,Millenials,Postgraduate,1,Single,54880.0,2013-01-03,57.0,308.0,85.0,137.0,102.0,45.0,118.0,795.0,2.0,6.0,2.0,19.0,11.0,5.0
541,557,8314,32,Millenials,Undergraduate,0,Married,79908.0,2013-05-04,30.0,557.0,129.0,761.0,29.0,185.0,111.0,1772.0,1.0,5.0,6.0,18.0,7.0,2.0
542,558,8420,44,Gen X,Postgraduate,0,Married,15315.0,2013-03-08,27.0,7.0,4.0,13.0,15.0,8.0,17.0,64.0,2.0,2.0,0.0,6.0,4.0,5.0
543,559,3174,55,Gen X,Undergraduate,1,Married,87771.0,2013-05-22,61.0,1492.0,38.0,287.0,50.0,57.0,33.0,1957.0,1.0,5.0,10.0,19.0,4.0,6.0
544,560,7685,36,Millenials,Undergraduate,1,Married,33039.0,2013-09-09,4.0,30.0,8.0,12.0,8.0,8.0,12.0,78.0,1.0,2.0,0.0,6.0,4.0,5.0
545,561,3179,34,Millenials,Undergraduate,0,Single,81741.0,2013-06-16,75.0,249.0,153.0,940.0,58.0,134.0,38.0,1572.0,0.0,6.0,6.0,19.0,7.0,2.0
546,562,9780,43,Gen X,Postgraduate,1,Married,71499.0,2013-06-25,12.0,465.0,25.0,132.0,136.0,0.0,37.0,795.0,2.0,8.0,3.0,24.0,13.0,4.0
547,563,10681,44,Gen X,Postgraduate,1,Married,62466.0,2014-01-15,13.0,129.0,129.0,259.0,168.0,121.0,83.0,889.0,5.0,6.0,3.0,21.0,12.0,4.0
548,564,10232,51,Gen X,Postgraduate,1,Divorced,48799.0,2013-05-11,9.0,174.0,18.0,81.0,28.0,6.0,24.0,331.0,3.0,3.0,2.0,12.0,7.0,3.0
549,565,4184,64,Boomers,Postgraduate,1,Married,52157.0,2014-07-06,48.0,189.0,2.0,29.0,3.0,2.0,40.0,265.0,2.0,3.0,2.0,10.0,5.0,4.0
550,566,9120,52,Gen X,Undergraduate,1,Single,66565.0,2012-05-12,80.0,747.0,10.0,161.0,65.0,40.0,42.0,1065.0,4.0,4.0,2.0,15.0,9.0,8.0
551,567,891,63,Boomers,Postgraduate,2,Married,29298.0,2013-07-09,60.0,6.0,0.0,2.0,2.0,0.0,1.0,11.0,1.0,1.0,0.0,3.0,2.0,5.0
552,568,10381,35,Millenials,Undergraduate,1,Single,47691.0,2013-05-07,43.0,14.0,0.0,3.0,0.0,0.0,4.0,21.0,1.0,1.0,0.0,3.0,2.0,6.0
553,569,3525,44,Gen X,Undergraduate,2,Married,38200.0,2012-07-12,19.0,12.0,0.0,4.0,0.0,0.0,1.0,17.0,1.0,1.0,0.0,3.0,2.0,7.0
554,570,6818,40,Millenials,Undergraduate,1,Married,44989.0,2012-12-09,26.0,98.0,0.0,106.0,49.0,10.0,106.0,369.0,5.0,5.0,1.0,11.0,5.0,6.0
555,571,3526,46,Gen X,Postgraduate,2,Married,38443.0,2014-01-27,58.0,32.0,0.0,5.0,0.0,0.0,1.0,38.0,2.0,1.0,0.0,4.0,3.0,7.0
556,572,8181,36,Millenials,Postgraduate,1,Single,38593.0,2013-09-13,42.0,51.0,12.0,49.0,17.0,24.0,24.0,177.0,3.0,4.0,1.0,8.0,3.0,8.0
557,573,1029,44,Gen X,Postgraduate,1,Married,64413.0,2013-01-08,27.0,200.0,5.0,44.0,0.0,10.0,20.0,279.0,1.0,5.0,1.0,11.0,5.0,5.0
558,574,7369,33,Millenials,Postgraduate,1,Married,36959.0,2013-02-10,56.0,25.0,6.0,25.0,6.0,0.0,0.0,62.0,2.0,2.0,0.0,5.0,3.0,8.0
559,575,2574,37,Millenials,Postgraduate,1,Married,61996.0,2013-01-31,27.0,1050.0,12.0,144.0,0.0,0.0,24.0,1230.0,3.0,6.0,4.0,18.0,8.0,5.0
560,576,8159,46,Gen X,Undergraduate,2,Married,51287.0,2014-01-04,10.0,117.0,0.0,22.0,13.0,0.0,30.0,182.0,3.0,4.0,1.0,8.0,3.0,7.0
561,578,10242,48,Gen X,Postgraduate,2,Married,47472.0,2013-09-16,39.0,56.0,0.0,11.0,0.0,0.0,8.0,75.0,2.0,2.0,0.0,6.0,4.0,5.0
562,579,5253,58,Boomers,Postgraduate,2,Married,54603.0,2013-09-07,85.0,145.0,13.0,46.0,17.0,2.0,4.0,227.0,6.0,4.0,2.0,10.0,4.0,7.0
563,580,5966,40,Millenials,Postgraduate,2,Married,45207.0,2012-10-11,64.0,203.0,0.0,10.0,0.0,0.0,2.0,215.0,5.0,3.0,1.0,10.0,6.0,6.0
564,581,5314,63,Boomers,Undergraduate,1,Married,40689.0,2013-03-18,69.0,270.0,3.0,27.0,39.0,6.0,99.0,444.0,7.0,7.0,1.0,13.0,5.0,8.0
565,582,5081,47,Gen X,Postgraduate,2,Married,47821.0,2013-10-20,54.0,9.0,0.0,16.0,6.0,6.0,10.0,47.0,1.0,1.0,0.0,4.0,3.0,8.0
566,583,5123,63,Boomers,Postgraduate,0,Married,27450.0,2013-04-15,57.0,37.0,12.0,23.0,8.0,11.0,52.0,143.0,1.0,2.0,1.0,6.0,3.0,7.0
567,584,5756,31,Millenials,Undergraduate,1,Married,39453.0,2014-03-04,64.0,46.0,0.0,7.0,0.0,0.0,2.0,55.0,2.0,2.0,0.0,5.0,3.0,6.0
568,585,8036,43,Gen X,Postgraduate,2,Married,26850.0,2014-04-18,10.0,31.0,1.0,13.0,7.0,2.0,9.0,63.0,4.0,2.0,1.0,7.0,4.0,4.0
569,586,9058,59,Boomers,Undergraduate,0,Divorced,79800.0,2012-09-23,65.0,1060.0,21.0,530.0,32.0,0.0,224.0,1867.0,1.0,5.0,11.0,21.0,5.0,3.0
570,587,5057,53,Gen X,Postgraduate,1,Married,61794.0,2013-09-14,74.0,264.0,47.0,188.0,54.0,47.0,11.0,611.0,2.0,4.0,4.0,18.0,10.0,2.0
571,588,254,59,Boomers,Undergraduate,1,Married,53863.0,2014-05-17,4.0,399.0,4.0,30.0,6.0,4.0,30.0,473.0,3.0,7.0,1.0,15.0,7.0,7.0
572,589,4179,55,Gen X,Undergraduate,0,Married,24221.0,2013-08-20,94.0,8.0,9.0,9.0,2.0,5.0,22.0,55.0,1.0,1.0,1.0,5.0,3.0,4.0
573,590,3710,30,Millenials,Postgraduate,1,Single,39684.0,2012-12-10,41.0,19.0,0.0,35.0,6.0,4.0,17.0,81.0,2.0,2.0,1.0,5.0,2.0,7.0
574,591,7627,39,Millenials,Postgraduate,0,Married,92163.0,2012-12-12,25.0,817.0,183.0,797.0,106.0,163.0,20.0,2086.0,0.0,5.0,11.0,21.0,5.0,2.0
575,592,4501,49,Gen X,Postgraduate,0,Single,69882.0,2013-10-11,94.0,292.0,127.0,635.0,132.0,127.0,165.0,1478.0,1.0,3.0,7.0,19.0,9.0,1.0
576,593,6424,37,Millenials,Undergraduate,1,Married,33178.0,2014-01-30,9.0,12.0,6.0,2.0,11.0,2.0,16.0,49.0,1.0,1.0,0.0,4.0,3.0,4.0
577,594,3075,42,Gen X,Postgraduate,0,Married,59973.0,2013-11-09,47.0,130.0,30.0,168.0,20.0,34.0,0.0,382.0,1.0,3.0,4.0,14.0,7.0,1.0
578,595,4992,39,Millenials,Postgraduate,1,Married,17459.0,2013-09-19,12.0,6.0,4.0,16.0,3.0,10.0,30.0,69.0,3.0,3.0,1.0,6.0,2.0,7.0
579,596,5252,45,Gen X,Undergraduate,1,Divorced,23910.0,2012-10-26,80.0,16.0,12.0,18.0,7.0,1.0,13.0,67.0,1.0,2.0,0.0,5.0,3.0,7.0
580,597,7444,45,Gen X,Postgraduate,2,Married,42169.0,2013-10-19,20.0,19.0,0.0,9.0,0.0,0.0,2.0,30.0,2.0,1.0,0.0,4.0,3.0,8.0
581,598,6919,36,Millenials,Postgraduate,1,Married,26224.0,2013-04-06,39.0,4.0,7.0,15.0,13.0,9.0,15.0,63.0,3.0,2.0,1.0,6.0,3.0,6.0
582,599,3537,33,Millenials,Undergraduate,1,Married,31089.0,2012-08-17,57.0,31.0,3.0,31.0,2.0,8.0,4.0,79.0,3.0,3.0,0.0,7.0,4.0,8.0
583,600,10277,53,Gen X,Undergraduate,1,Single,30081.0,2013-02-21,27.0,36.0,0.0,2.0,0.0,0.0,4.0,42.0,1.0,1.0,0.0,4.0,3.0,7.0
584,601,2453,54,Gen X,Undergraduate,1,Married,62807.0,2012-08-31,83.0,526.0,28.0,135.0,10.0,21.0,99.0,819.0,3.0,5.0,3.0,20.0,12.0,5.0
585,602,7972,59,Boomers,Undergraduate,0,Single,72906.0,2013-09-17,79.0,400.0,32.0,519.0,71.0,75.0,54.0,1151.0,1.0,3.0,4.0,16.0,9.0,1.0
586,603,895,66,Boomers,Postgraduate,2,Married,61467.0,2012-09-12,69.0,410.0,16.0,114.0,0.0,5.0,49.0,594.0,3.0,5.0,2.0,17.0,10.0,5.0
587,604,1177,48,Gen X,Postgraduate,2,Married,49618.0,2013-01-26,77.0,80.0,3.0,26.0,4.0,2.0,14.0,129.0,4.0,3.0,1.0,7.0,3.0,7.0
588,605,7141,28,Millenials,Postgraduate,1,Single,21888.0,2012-12-29,15.0,88.0,10.0,46.0,2.0,3.0,64.0,213.0,4.0,5.0,1.0,8.0,2.0,10.0
589,606,7232,41,Millenials,Undergraduate,1,Divorced,42429.0,2014-11-02,99.0,55.0,0.0,6.0,2.0,0.0,4.0,67.0,2.0,1.0,1.0,5.0,3.0,5.0
590,607,8477,58,Boomers,Undergraduate,3,Divorced,26150.0,2013-11-03,61.0,5.0,1.0,13.0,3.0,5.0,1.0,28.0,1.0,1.0,0.0,4.0,3.0,7.0
591,608,2457,39,Millenials,Undergraduate,1,Married,30801.0,2012-10-26,23.0,8.0,4.0,5.0,15.0,2.0,11.0,45.0,2.0,1.0,0.0,4.0,3.0,7.0
592,609,988,49,Gen X,Undergraduate,0,Married,81168.0,2014-07-05,84.0,410.0,0.0,592.0,147.0,22.0,22.0,1193.0,1.0,6.0,4.0,17.0,7.0,3.0
593,610,7930,45,Gen X,Postgraduate,0,Single,26877.0,2013-08-19,74.0,101.0,13.0,76.0,20.0,18.0,40.0,268.0,2.0,3.0,1.0,10.0,6.0,6.0
594,611,4587,70,Boomers,Postgraduate,0,Divorced,45006.0,2013-07-18,90.0,162.0,25.0,53.0,16.0,0.0,10.0,266.0,1.0,3.0,1.0,11.0,7.0,3.0
595,612,6682,41,Millenials,Undergraduate,1,Married,18978.0,2012-11-12,41.0,2.0,8.0,1.0,4.0,7.0,15.0,37.0,1.0,1.0,0.0,4.0,3.0,8.0
596,613,6222,47,Gen X,Undergraduate,3,Married,22574.0,2013-10-28,28.0,25.0,0.0,8.0,2.0,0.0,2.0,37.0,2.0,2.0,0.0,5.0,3.0,7.0
597,614,10299,45,Gen X,Postgraduate,0,Single,48240.0,2012-09-11,73.0,389.0,91.0,248.0,64.0,49.0,41.0,882.0,3.0,6.0,3.0,22.0,13.0,5.0
598,615,3083,40,Millenials,Undergraduate,2,Married,45837.0,2013-07-26,88.0,215.0,13.0,87.0,17.0,17.0,24.0,373.0,5.0,6.0,2.0,13.0,5.0,7.0
599,616,8953,49,Gen X,Postgraduate,3,Single,35791.0,2013-06-05,94.0,27.0,0.0,5.0,0.0,0.0,3.0,35.0,2.0,1.0,0.0,4.0,3.0,8.0
600,618,8650,36,Millenials,Undergraduate,2,Divorced,54162.0,2013-03-18,31.0,5.0,6.0,10.0,6.0,5.0,10.0,42.0,1.0,1.0,0.0,4.0,3.0,4.0
601,619,10862,54,Gen X,Postgraduate,1,Married,30522.0,2012-08-17,6.0,179.0,8.0,83.0,19.0,11.0,26.0,326.0,5.0,1.0,2.0,12.0,9.0,2.0
602,620,2782,53,Gen X,Postgraduate,1,Married,54456.0,2013-11-07,23.0,352.0,0.0,27.0,10.0,0.0,15.0,404.0,3.0,6.0,1.0,14.0,7.0,6.0
603,621,6941,43,Gen X,Undergraduate,0,Single,31632.0,2013-07-14,92.0,17.0,8.0,12.0,11.0,15.0,32.0,95.0,1.0,2.0,1.0,5.0,2.0,7.0
604,622,10972,65,Boomers,Undergraduate,0,Divorced,72298.0,2014-10-03,52.0,625.0,35.0,169.0,58.0,17.0,35.0,939.0,1.0,4.0,3.0,13.0,6.0,1.0
605,623,10708,36,Millenials,Postgraduate,1,Single,36975.0,2013-12-28,50.0,10.0,6.0,11.0,0.0,4.0,2.0,33.0,1.0,1.0,0.0,4.0,3.0,7.0
606,624,6583,59,Boomers,Postgraduate,0,Married,72635.0,2013-03-06,54.0,390.0,22.0,323.0,104.0,35.0,107.0,981.0,1.0,6.0,8.0,20.0,6.0,3.0
607,625,3641,38,Millenials,Undergraduate,1,Married,13624.0,2013-01-20,93.0,10.0,2.0,15.0,2.0,1.0,6.0,36.0,2.0,2.0,0.0,5.0,3.0,6.0
608,626,10156,39,Millenials,Undergraduate,1,Single,84196.0,2013-03-06,56.0,215.0,63.0,507.0,231.0,31.0,190.0,1237.0,1.0,8.0,4.0,19.0,7.0,3.0
609,627,4299,54,Gen X,Undergraduate,1,Married,70971.0,2012-09-21,28.0,1001.0,17.0,572.0,93.0,125.0,17.0,1825.0,7.0,11.0,11.0,27.0,5.0,7.0
610,628,3469,37,Millenials,Postgraduate,2,Divorced,34487.0,2012-06-09,94.0,19.0,18.0,33.0,24.0,1.0,8.0,103.0,3.0,3.0,0.0,6.0,3.0,9.0
611,629,5063,37,Millenials,Undergraduate,1,Single,28769.0,2012-12-18,76.0,41.0,5.0,129.0,10.0,3.0,3.0,191.0,3.0,4.0,1.0,9.0,4.0,9.0
612,630,10727,44,Gen X,Postgraduate,1,Married,69084.0,2013-11-19,43.0,1181.0,107.0,199.0,39.0,30.0,30.0,1586.0,2.0,7.0,3.0,23.0,13.0,8.0
613,631,9624,56,Gen X,Postgraduate,0,Married,65488.0,2014-06-13,46.0,603.0,45.0,207.0,36.0,18.0,54.0,963.0,1.0,3.0,4.0,13.0,6.0,1.0
614,632,5156,44,Gen X,Postgraduate,1,Married,62466.0,2014-01-15,13.0,129.0,129.0,259.0,168.0,121.0,83.0,889.0,5.0,6.0,3.0,21.0,12.0,4.0
615,633,4376,54,Gen X,Postgraduate,0,Single,32218.0,2014-02-15,27.0,10.0,24.0,15.0,13.0,1.0,30.0,93.0,1.0,2.0,1.0,6.0,3.0,7.0
616,634,8923,41,Millenials,Undergraduate,0,Single,83917.0,2013-04-18,12.0,514.0,22.0,732.0,42.0,198.0,79.0,1587.0,1.0,6.0,7.0,20.0,7.0,3.0
617,635,8461,52,Gen X,Undergraduate,3,Divorced,46102.0,2014-10-03,3.0,14.0,0.0,1.0,0.0,0.0,1.0,16.0,1.0,1.0,0.0,3.0,2.0,7.0
618,636,6945,62,Boomers,Undergraduate,0,Single,84574.0,2013-04-06,72.0,387.0,20.0,713.0,38.0,54.0,163.0,1375.0,1.0,9.0,11.0,31.0,11.0,5.0
619,637,944,52,Gen X,Undergraduate,1,Married,56181.0,2013-08-01,6.0,121.0,103.0,69.0,8.0,44.0,48.0,393.0,1.0,4.0,2.0,13.0,7.0,4.0
620,638,1907,64,Boomers,Postgraduate,1,Divorced,63120.0,2012-09-28,53.0,965.0,69.0,279.0,54.0,41.0,69.0,1477.0,5.0,8.0,4.0,21.0,9.0,7.0
621,639,701,43,Gen X,Undergraduate,1,Married,73691.0,2013-06-11,58.0,707.0,21.0,250.0,85.0,43.0,73.0,1179.0,2.0,6.0,2.0,16.0,8.0,2.0
622,640,3856,54,Gen X,Undergraduate,1,Married,63381.0,2012-05-10,78.0,571.0,50.0,142.0,33.0,50.0,159.0,1005.0,4.0,4.0,5.0,22.0,13.0,2.0
623,641,4149,66,Boomers,Postgraduate,0,Married,76140.0,2014-05-13,57.0,586.0,66.0,653.0,17.0,0.0,26.0,1348.0,1.0,5.0,9.0,20.0,6.0,2.0
624,642,2131,55,Gen X,Postgraduate,1,Divorced,62859.0,2012-12-30,37.0,1063.0,89.0,102.0,16.0,12.0,25.0,1307.0,4.0,9.0,4.0,19.0,6.0,6.0
625,643,2942,50,Gen X,Undergraduate,1,Single,45906.0,2013-07-05,20.0,305.0,3.0,27.0,4.0,3.0,144.0,486.0,2.0,5.0,4.0,13.0,4.0,5.0
626,644,1173,67,Boomers,Postgraduate,0,Married,77632.0,2013-10-03,73.0,1200.0,105.0,758.0,0.0,42.0,147.0,2252.0,1.0,4.0,2.0,12.0,6.0,2.0
